frame,type,x,yOffset
0,alien1,250,0
0,alien1,200,50
0,alien1,300,50
0,alien1,175,100
0,alien1,325,100
0,alien1,200,150
0,alien1,300,150
0,alien1,250,200
200,alien1,250,0
200,alien1,200,0
200,alien1,300,0
200,alien1,175,50
200,alien1,325,50
200,alien1,150,100
200,alien1,350,100
200,alien1,250,150
200,alien1,250,200
400,alien1,200,0
400,alien1,300,0
400,alien1,200,100
400,alien1,300,100
400,alien1,200,200
400,alien1,300,200
600,alien1,250,0
600,alien1,200,25
600,alien1,300,25
600,alien1,175,75
600,alien1,325,75
600,alien1,200,125
600,alien1,300,125
600,alien1,250,150
500,speed,100,0
1000,multi,150,0
50,largealien,100,0
800,alien1,250,0
800,alien1,200,50
800,alien1,300,50
800,alien1,175,100
800,alien1,325,100
800,alien1,200,150
800,alien1,300,150
800,alien1,250,200
1000,alien1,250,0
1000,alien1,200,0
1000,alien1,300,0
1000,alien1,175,50
1000,alien1,325,50
1000,alien1,150,100
1000,alien1,350,100
1000,alien1,250,150
1000,alien1,250,200
1200,alien1,200,0
1200,alien1,300,0
1200,alien1,200,100
1200,alien1,300,100
1200,alien1,200,200
1200,alien1,300,200
1400,alien1,250,0
1400,alien1,200,25
1400,alien1,300,25
1400,alien1,175,75
1400,alien1,325,75
1400,alien1,200,125
1400,alien1,300,125
1400,alien1,250,150
1300,speed,100,0
1800,multi,150,0
850,largealien,100,0
1600,alien1,250,0
1600,alien1,200,50
1600,alien1,300,50
1600,alien1,175,100
1600,alien1,325,100
1600,alien1,200,150
1600,alien1,300,150
1600,alien1,250,200
1800,alien1,250,0
1800,alien1,200,0
1800,alien1,300,0
1800,alien1,175,50
1800,alien1,325,50
1800,alien1,150,100
1800,alien1,350,100
1800,alien1,250,150
1800,alien1,250,200
2000,alien1,200,0
2000,alien1,300,0
2000,alien1,200,100
2000,alien1,300,100
2000,alien1,200,200
2000,alien1,300,200
2200,alien1,250,0
2200,alien1,200,25
2200,alien1,300,25
2200,alien1,175,75
2200,alien1,325,75
2200,alien1,200,125
2200,alien1,300,125
2200,alien1,250,150
2100,speed,100,0
2600,multi,150,0
1650,largealien,100,0
2400,alien1,250,0
2400,alien1,200,50
2400,alien1,300,50
2400,alien1,175,100
2400,alien1,325,100
2400,alien1,200,150
2400,alien1,300,150
2400,alien1,250,200
2600,alien1,250,0
2600,alien1,200,0
2600,alien1,300,0
2600,alien1,175,50
2600,alien1,325,50
2600,alien1,150,100
2600,alien1,350,100
2600,alien1,250,150
2600,alien1,250,200
2800,alien1,200,0
2800,alien1,300,0
2800,alien1,200,100
2800,alien1,300,100
2800,alien1,200,200
2800,alien1,300,200
3000,alien1,250,0
3000,alien1,200,25
3000,alien1,300,25
3000,alien1,175,75
3000,alien1,325,75
3000,alien1,200,125
3000,alien1,300,125
3000,alien1,250,150
2900,speed,100,0
3400,multi,150,0
2450,largealien,100,0
3200,alien1,250,0
3200,alien1,200,50
3200,alien1,300,50
3200,alien1,175,100
3200,alien1,325,100
3200,alien1,200,150
3200,alien1,300,150
3200,alien1,250,200
3400,alien1,250,0
3400,alien1,200,0
3400,alien1,300,0
3400,alien1,175,50
3400,alien1,325,50
3400,alien1,150,100
3400,alien1,350,100
3400,alien1,250,150
3400,alien1,250,200
3600,alien1,200,0
3600,alien1,300,0
3600,alien1,200,100
3600,alien1,300,100
3600,alien1,200,200
3600,alien1,300,200
3800,alien1,250,0
3800,alien1,200,25
3800,alien1,300,25
3800,alien1,175,75
3800,alien1,325,75
3800,alien1,200,125
3800,alien1,300,125
3800,alien1,250,150
3700,speed,100,0
4200,multi,150,0
3250,largealien,100,0
