frame,type,x,yOffset
0,alien1,150,0
0,shielded,200,0
0,alien1,250,0
0,alien1,300,0
0,shielded,350,0
500,alien1,150,0
500,shielded,200,0
500,shielded,250,0
500,alien1,300,0
500,alien1,350,0
500,speed,361,0
1000,shielded,150,0
1000,alien1,200,0
1000,shielded,250,0
1000,alien1,300,0
1000,alien1,350,0
1500,alien1,50,0
1500,alien1,250,0
1500,alien1,100,50
1500,alien1,200,50
1500,shielded,150,100
1500,shielded,100,150
1500,shielded,200,150
1500,alien1,50,200
1500,shielded,250,200
1500,shielded,300,0
1500,shielded,350,0
1500,alien1,400,0
1500,alien1,300,100
1500,shielded,350,100
1500,shielded,400,100
1500,bomb,366,0
2000,alien1,150,0
2000,alien1,250,0
2000,alien1,350,0
2000,shielded,200,50
2000,shielded,300,50
2000,alien1,250,100
2000,shielded,250,150
2500,alien1,150,0
2500,alien1,250,0
2500,shielded,350,0
2500,shielded,200,50
2500,alien1,300,50
2500,shielded,250,100
2500,alien1,250,150
2500,multi,422,0
3000,shielded,200,0
3000,alien1,250,0
3000,alien1,300,0
3000,alien1,250,100
3000,shielded,250,200
3000,alien1,200,100
3000,alien1,300,100
3500,shielded,100,0
3500,alien1,150,0
3500,alien1,200,0
3500,shielded,150,100
3500,shielded,150,200
3500,alien1,100,100
3500,shielded,200,100
3500,shielded,250,0
3500,shielded,300,0
3500,alien1,350,0
3500,alien1,400,0
3500,alien1,450,0
3500,bomb,154,0
4000,alien1,200,0
4000,alien1,250,0
4000,alien1,300,0
4000,alien1,200,100
4000,alien1,250,100
4000,alien1,300,100
4000,bomb,379,0
4500,shielded,200,0
4500,shielded,250,0
4500,shielded,300,0
4500,shielded,200,100
4500,shielded,250,100
4500,alien1,300,100
5000,shielded,150,0
5000,alien1,350,0
5000,alien1,200,50
5000,shielded,300,50
5000,alien1,250,100
5000,alien1,200,150
5000,shielded,300,150
5000,shielded,150,200
5000,shielded,350,200
5000,speed,229,0
5000,bomb,336,0
5500,shielded,50,0
5500,alien1,150,0
5500,alien1,250,0
5500,alien1,100,50
5500,shielded,200,50
5500,shielded,150,100
5500,alien1,150,150
5500,alien1,350,0
5500,alien1,300,50
5500,alien1,400,50
5500,shielded,275,100
5500,shielded,425,100
5500,alien1,300,150
5500,shielded,400,150
5500,alien1,350,200
6000,shielded,250,0
6000,alien1,200,50
6000,alien1,300,50
6000,shielded,175,100
6000,alien1,325,100
6000,shielded,200,150
6000,alien1,300,150
6000,shielded,250,200
6000,multi,187,0
6000,multi,370,0
6500,alien1,150,0
