frame,type,x,yOffset
0,alien1,250,0
0,alien1,200,50
0,alien1,300,50
0,alien1,175,100
0,alien1,325,100
0,alien1,200,150
0,alien1,300,150
0,alien1,250,200

400,alien1,250,0
400,alien1,200,0
400,alien1,300,0
400,alien1,175,50
400,alien1,325,50
400,alien1,150,100
400,alien1,350,100
400,alien1,250,150
400,alien1,250,200
600,alien1,200,0
600,alien1,300,0
600,alien1,200,100
600,alien1,300,100
600,alien1,200,200
600,alien1,300,200
800,alien1,250,0
800,alien1,200,25
800,alien1,300,25
800,alien1,175,75
800,alien1,325,75
800,alien1,200,125
800,alien1,300,125
800,alien1,250,150
1000,alien1,250,0
1000,alien1,225,50
1000,alien1,275,50
1000,alien1,200,100
1000,alien1,300,100
1000,alien1,175,150
1000,alien1,325,150
1000,alien1,250,200
1200,multi,150,0
1400,alien1,250,0
1400,alien1,200,50
1400,alien1,300,50
1400,alien1,150,100
1400,alien1,350,100
1400,alien1,250,150
1400,alien1,250,200
1600,speed,100,0
1800,alien1,250,0
1800,alien1,225,25
1800,alien1,275,25
1800,alien1,200,50
1800,alien1,300,50
1800,alien1,175,100
1800,alien1,325,100
1800,alien1,250,150
2000,alien1,250,0
2000,alien1,200,50
2000,alien1,300,50
2000,alien1,175,100
2000,alien1,325,100
2000,alien1,200,150
2000,alien1,300,150
2000,alien1,250,200
2200,alien1,250,0
2200,alien1,225,25
2200,alien1,275,25
2200,alien1,200,50
2200,alien1,300,50
2200,alien1,250,75
2200,alien1,250,100
2400,speed,100,0
2600,multi,300,0
2800,alien1,150,0
2800,alien1,250,0
2800,alien1,350,0
2800,alien1,200,50
2800,alien1,300,50
2800,alien1,250,100
2800,alien1,250,150
3000,alien1,200,0
3000,alien1,300,0
3000,alien1,200,50
3000,alien1,300,50
3000,alien1,250,100
3000,alien1,250,150
3000,alien1,250,200
3200,alien1,250,0
3200,alien1,200,25
3200,alien1,300,25
3200,alien1,175,75
3200,alien1,325,75
3200,alien1,200,125
3200,alien1,300,125
3200,alien1,250,150
3400,alien1,250,0
3400,alien1,200,50
3400,alien1,300,50
3400,alien1,175,100
3400,alien1,325,100
3400,alien1,200,150
3400,alien1,300,150
3400,alien1,250,200
3600,speed,200,0
3800,alien1,250,0
3800,alien1,225,25
3800,alien1,275,25
3800,alien1,200,50
3800,alien1,300,50
3800,alien1,250,100
3800,alien1,250,150
4000,alien1,200,0
4000,alien1,300,0
4000,alien1,250,50
4000,alien1,250,100
4000,alien1,250,150
4000,alien1,250,200
4200,multi,150,0
4400,speed,100,0
4600,multi,300,0
4800,alien1,150,0
5000,alien1,250,0
5200,alien1,350,0
5400,alien1,200,50
5600,alien1,300,50
5800,alien1,250,100
6000,alien1,250,150
6200,alien1,250,200
6400,largealien,100,0
6900,alien1,250,0
6900,alien1,200,50
6900,alien1,300,50
6900,alien1,175,100
6900,alien1,325,100
6900,alien1,200,150
6900,alien1,300,150
6900,alien1,250,200
7400,alien1,250,0
7400,alien1,200,0
7400,alien1,300,0
7400,alien1,175,50
7400,alien1,325,50
7400,alien1,150,100
7400,alien1,350,100
7400,alien1,250,150
7400,alien1,250,200
7900,alien1,200,0
7900,alien1,300,0
7900,alien1,200,100
7900,alien1,300,100
7900,alien1,200,200
7900,alien1,300,200
8400,alien1,250,0
8400,alien1,200,25
8400,alien1,300,25
8400,alien1,175,75
8400,alien1,325,75
8400,alien1,200,125
8400,alien1,300,125
8400,alien1,250,150
8900,alien1,250,0
8900,alien1,225,50
8900,alien1,275,50
8900,alien1,200,100
8900,alien1,300,100
8900,alien1,175,150
8900,alien1,325,150
8900,alien1,250,200
9400,multi,150,0
9900,alien1,250,0
9900,alien1,200,50
9900,alien1,300,50
9900,alien1,150,100
9900,alien1,350,100
9900,alien1,250,150
9900,alien1,250,200
10400,speed,100,0
10900,alien1,250,0
10900,alien1,225,25
10900,alien1,275,25
10900,alien1,200,50
10900,alien1,300,50
10900,alien1,175,100
10900,alien1,325,100
10900,alien1,250,150
11400,alien1,250,0
11400,alien1,200,50
11400,alien1,300,50
11400,alien1,175,100
11400,alien1,325,100
11400,alien1,200,150
11400,alien1,300,150
11400,alien1,250,200
11900,alien1,250,0
11900,alien1,225,25
11900,alien1,275,25
11900,alien1,200,50
11900,alien1,300,50
11900,alien1,250,75
11900,alien1,250,100
12400,speed,100,0
12900,multi,300,0
13400,alien1,150,0
13400,alien1,250,0
13400,alien1,350,0
13400,alien1,200,50
13400,alien1,300,50
13400,alien1,250,100
13400,alien1,250,150
13900,alien1,200,0
13900,alien1,300,0
13900,alien1,200,50
13900,alien1,300,50
13900,alien1,250,100
13900,alien1,250,150
13900,alien1,250,200
14400,alien1,250,0
14400,alien1,200,25
14400,alien1,300,25
14400,alien1,175,75
14400,alien1,325,75
14400,alien1,200,125
14400,alien1,300,125
14400,alien1,250,150
14900,alien1,250,0
14900,alien1,200,50
14900,alien1,300,50
14900,alien1,175,100
14900,alien1,325,100
14900,alien1,200,150
14900,alien1,300,150
14900,alien1,250,200
15400,speed,200,0
15900,alien1,250,0
15900,alien1,225,25
15900,alien1,275,25
15900,alien1,200,50
15900,alien1,300,50
15900,alien1,250,100
15900,alien1,250,150
16400,alien1,200,0
16400,alien1,300,0
16400,alien1,250,50
16400,alien1,250,100
16400,alien1,250,150
16400,alien1,250,200
16900,multi,150,0
17400,speed,100,0
17900,multi,300,0
18100,largealien,100,0
